"ID"	"ORF"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"664618_at"	664618	-0.0733391364000031	5.5640028235	-0.980273631447952	0.337863154665419	0.717791112701195	-6.01528498788032
"445577_at"	445577	0.0720929490999991	5.71026288265	0.980064328302213	0.337964096912669	0.717791112701195	-6.01548570921749
"3339_at"	3339	0.0618354683999982	9.0967681368	0.980058036249996	0.337967131750556	0.717791112701195	-6.01549174267868
"1359_at"	1359	0.0740766741000001	3.94859267545	0.979968388972139	0.338010373249351	0.717791112701195	-6.01557770178985
"10349_at"	10349	0.0471103977	3.86085329015	0.97994274064903	0.338022745456602	0.717791112701195	-6.01560229359877
"860_at"	860	-0.101907782400002	6.4355955951	-0.979919626571752	0.338033895464263	0.717791112701195	-6.01562445505025
"10780_at"	10780	-0.0531200798000011	5.164117931	-0.979630559216614	0.338173360131655	0.717791112701195	-6.0159015684736
"8988_at"	8988	-0.0702002042000007	4.1694386934	-0.979617451481181	0.33817968508335	0.717791112701195	-6.01591413239089
"29127_at"	29127	-0.0682588697000002	7.69757303295	-0.979557832005888	0.338208454641628	0.717791112701195	-6.01597127641767
"8408_at"	8408	-0.0788000678999978	7.53820601615	-0.979543197606003	0.338215516772889	0.717791112701195	-6.01598530270042
"5583_at"	5583	-0.111199216800001	9.474121981	-0.9795081569884	0.338232426757203	0.717791112701195	-6.01601888646486
